,RunID,final_reward,max_reward,time_to_max_reward_sec,total_duration_sec,mean_policy_loss,mean_value_loss,mean_entropy,final_entropy,max_cpu_usage_percent,mean_cpu_usage_percent,max_ram_used_mb,mean_ram_used_mb,mean_cpu_frequency,max_cpu_frequency,max_gpu_usage_percent,mean_gpu_usage_percent,max_vram_used_mb,mean_vram_used_mb,max_game_cpu_usage_percent,mean_game_cpu_usage_percent,max_game_memory_usage_mb,mean_game_memory_usage_mb,id,os,cpu,physical_cores,system_ram_gb,gpu,GPU_ram_mb,cuda_version,training_type,game_name,batch_size,learning_rate,buffer_size,beta,epsilon,lambd,num_epoch,learning_rate_schedule,normalize,hidden_units,num_layers,vis_encode_type,reward_extrinsic_gamma,reward_extrinsic_strength,keep_checkpoints,max_steps,time_horizon,summary_freq
5196,20260104-094541,100.0000152588,100.0000152588,99.8483352661,390.5599975586,0.0342417139,0.0162560041,1.328340111,1.2912727594,77.75,64.5108431621,23178.0,23046.5963620105,3133.3332519531,3133.3332519531,0.5,0.0341365463,853.0,853.0,14.8464317322,9.8347860934,0.0,0.0,11045,Windows 11,AMD Ryzen 7 9800X3D 8-Core Processor,8,66157800000,NVIDIA GeForce RTX 5070 Ti,16303.0,,ppo,3DBallHard,512,0.000136,10240,0.00694,0.135,0.949,5.0,constant,False,256,3,simple,,,5,1000000,128,12000
5197,20260104-095221,1.2545098066,1.3701645136,134.9124755859,175.6118927002,0.0167923427,0.0678551737,1.4121882538,1.4069699049,75.7333297729,64.6209348353,23382.0,23279.8780011433,3133.3332519531,3133.3332519531,0.0,0.0,853.3333129883,853.0081295851,12.7466478348,9.6048414882,0.0,0.0,11046,Windows 11,AMD Ryzen 7 9800X3D 8-Core Processor,8,66157800000,NVIDIA GeForce RTX 5070 Ti,16303.0,,ppo,3DBallHard,2048,0.00025,81920,0.001179,0.151,0.949,4.0,linear,False,64,2,simple,,,5,500000,64,12000
5198,20260104-095535,1.5801337957,1.5801337957,87.6288375854,87.6288375854,0.0261680465,0.0853795782,1.4172392786,1.4149340391,71.9000015259,64.0458332062,23460.0,23333.5166015625,3133.3332519531,3133.3332519531,0.0,0.0,853.0,853.0,14.9959897995,10.0239105463,0.0,0.0,11047,Windows 11,AMD Ryzen 7 9800X3D 8-Core Processor,8,66157800000,NVIDIA GeForce RTX 5070 Ti,16303.0,,ppo,3DBallHard,1024,0.000214,81920,0.001002,0.176,0.919,4.0,linear,True,128,3,simple,,,5,250000,1024,12000
5199,20260104-095722,10.5466032028,10.5466032028,112.3043823242,112.3043823242,0.0352379524,0.2570366792,1.4064123988,1.367987752,74.9499969482,64.4624994278,23431.0,23238.5083007812,3133.3332519531,3133.3332519531,1.5,0.0916666672,853.0,853.0,14.0407800674,9.6361608744,0.0,0.0,11048,Windows 11,AMD Ryzen 7 9800X3D 8-Core Processor,8,66157800000,NVIDIA GeForce RTX 5070 Ti,16303.0,,ppo,3DBallHard,512,0.00014,20480,0.004582,0.11,0.926,8.0,constant,True,32,2,simple,,,5,250000,128,12000
5200,20260104-095927,1.2774256468,1.2840954065,99.173324585,102.6939926147,0.0128781246,0.2696928456,1.4168923855,1.4142855406,70.8499984741,63.9500003815,23504.333984375,23295.733203125,3133.3332519531,3133.3332519531,0.6666666865,0.0916666687,853.0,853.0,12.4329500198,9.7068064928,0.0,0.0,11049,Windows 11,AMD Ryzen 7 9800X3D 8-Core Processor,8,66157800000,NVIDIA GeForce RTX 5070 Ti,16303.0,,ppo,3DBallHard,4096,0.000132,81920,0.002688,0.289,0.914,8.0,linear,True,32,3,simple,,,5,250000,1024,12000
5201,20260104-100136,1.2533333302,1.2533333302,33.8957557678,33.8957557678,0.0181738622,0.3561593667,1.4210767299,1.4211012125,68.8000030518,64.2875008583,23412.5,23374.8959960938,3133.3332519531,3133.3332519531,0.0,0.0,853.0,853.0,13.9726104736,9.1290835142,0.0,0.0,11050,Windows 11,AMD Ryzen 7 9800X3D 8-Core Processor,8,66157800000,NVIDIA GeForce RTX 5070 Ti,16303.0,,ppo,3DBallHard,2048,0.000231,40960,0.003819,0.235,0.928,4.0,constant,False,32,1,simple,,,5,100000,128,12000
5202,20260104-100218,53.3095321655,100.0000152588,426.7384338379,979.3786621094,0.0179268722,0.3948056273,1.366841816,1.3846701384,91.1999969482,65.7579316289,23649.5,23327.0532167733,3133.3332519531,3133.3332519531,0.5,0.0170682733,853.0,853.0,18.6531867981,11.1426391918,0.0,0.0,11051,Windows 11,AMD Ryzen 7 9800X3D 8-Core Processor,8,66157800000,NVIDIA GeForce RTX 5070 Ti,16303.0,,ppo,3DBallHard,2048,0.000263,81920,0.002421,0.265,0.9,10.0,linear,True,32,1,simple,,,5,2000000,128,12000
5203,20260104-101846,100.0000152588,100.0000152588,209.9326782227,336.3414306641,0.0247028299,0.0612973556,1.4168133061,1.4413515329,78.1999969482,64.7724899844,23446.0,23214.7450112952,3133.3332519531,3133.3332519531,0.6666666865,0.040160643,853.0,853.0,18.7264156342,10.3574927744,0.0,0.0,11052,Windows 11,AMD Ryzen 7 9800X3D 8-Core Processor,8,66157800000,NVIDIA GeForce RTX 5070 Ti,16303.0,,ppo,3DBallHard,1024,0.000291,20480,0.004901,0.119,0.907,4.0,constant,True,32,1,simple,,,5,1000000,1024,12000
5204,20260104-102429,1.248046875,1.3023999929,106.6095123291,113.4401855469,0.0180438794,0.0750629455,1.4185799956,1.4178102016,74.5999984741,64.9599996567,23606.666015625,23411.8750976563,3133.3332519531,3133.3332519531,0.5,0.0416666672,853.0,853.0,13.6520462036,9.9313228369,0.0,0.0,11053,Windows 11,AMD Ryzen 7 9800X3D 8-Core Processor,8,66157800000,NVIDIA GeForce RTX 5070 Ti,16303.0,,ppo,3DBallHard,2048,0.000262,163840,0.004279,0.198,0.929,10.0,linear,True,128,2,simple,,,5,250000,128,12000
5205,20260104-102632,1.1977055073,1.2185328007,18.1464748383,35.4311408997,0.0245649572,0.2030491009,1.4186356217,1.4184310436,73.3666687012,66.3562502861,23494.666015625,23354.0415039062,3133.3332519531,3133.3332519531,0.3333333433,0.0416666679,853.0,853.0,12.9464826584,10.4142168164,0.0,0.0,11054,Windows 11,AMD Ryzen 7 9800X3D 8-Core Processor,8,66157800000,NVIDIA GeForce RTX 5070 Ti,16303.0,,ppo,3DBallHard,1024,2.3e-05,40960,0.001654,0.285,0.918,4.0,linear,False,64,2,simple,,,5,100000,64,12000
