run_id,os,cpu,physical_cores,system_ram_gb,gpu,GPU_ram_mb,cuda_version,training_type,game_name,batch_size,learning_rate,buffer_size,beta,epsilon,lambd,num_epoch,learning_rate_schedule,normalize,hidden_units,num_layers,vis_encode_type,reward_extrinsic_gamma,reward_extrinsic_strength,keep_checkpoints,max_steps,time_horizon,summary_freq
20251123-095200,Windows 11,"AMD64 Family 25 Model 33 Stepping 2, AuthenticAMD",8,34265653248,NVIDIA GeForce RTX 5080,16303.0,,ppo,3DBall,2048,0.000104,163840,0.00331,0.102,0.913,5,linear,True,128,1,simple,,,5,250000,128,12000
20251123-095415,Windows 11,"AMD64 Family 25 Model 33 Stepping 2, AuthenticAMD",8,34265653248,NVIDIA GeForce RTX 5080,16303.0,,ppo,3DBall,1024,0.000175,20480,0.006799,0.181,0.934,3,linear,False,64,2,simple,,,5,2000000,1024,12000
20251123-100835,Windows 11,"AMD64 Family 25 Model 33 Stepping 2, AuthenticAMD",8,34265653248,NVIDIA GeForce RTX 5080,16303.0,,ppo,3DBall,512,0.000271,20480,0.003326,0.119,0.941,4,constant,False,512,1,simple,,,5,1000000,128,12000
20251123-101643,Windows 11,"AMD64 Family 25 Model 33 Stepping 2, AuthenticAMD",8,34265653248,NVIDIA GeForce RTX 5080,16303.0,,ppo,3DBall,2048,0.000264,40960,0.008394,0.207,0.947,5,linear,True,64,2,simple,,,5,500000,256,12000
20251123-102113,Windows 11,"AMD64 Family 25 Model 33 Stepping 2, AuthenticAMD",8,34265653248,NVIDIA GeForce RTX 5080,16303.0,,ppo,3DBall,1024,0.000245,81920,0.009053,0.152,0.928,10,linear,True,32,2,simple,,,5,500000,512,12000
20251123-102730,Windows 11,"AMD64 Family 25 Model 33 Stepping 2, AuthenticAMD",8,34265653248,NVIDIA GeForce RTX 5080,16303.0,,ppo,3DBall,2048,9.4e-05,163840,0.004024,0.251,0.949,3,constant,False,512,2,simple,,,5,500000,256,12000
20251123-103207,Windows 11,"AMD64 Family 25 Model 33 Stepping 2, AuthenticAMD",8,34265653248,NVIDIA GeForce RTX 5080,16303.0,,ppo,3DBall,1024,0.000213,20480,0.009115,0.245,0.95,3,linear,False,512,1,simple,,,5,100000,2048,12000
20251123-103303,Windows 11,"AMD64 Family 25 Model 33 Stepping 2, AuthenticAMD",8,34265653248,NVIDIA GeForce RTX 5080,16303.0,,ppo,3DBall,4096,0.000264,327680,0.001425,0.202,0.921,8,linear,False,512,2,simple,,,5,250000,128,12000
20251123-103450,Windows 11,"AMD64 Family 25 Model 33 Stepping 2, AuthenticAMD",8,34265653248,NVIDIA GeForce RTX 5080,16303.0,,ppo,3DBall,4096,9.1e-05,327680,0.009995,0.182,0.911,5,constant,True,256,2,simple,,,5,1000000,1024,12000
20251123-104448,Windows 11,"AMD64 Family 25 Model 33 Stepping 2, AuthenticAMD",8,34265653248,NVIDIA GeForce RTX 5080,16303.0,,ppo,3DBall,1024,0.000243,81920,0.009042,0.215,0.944,8,linear,False,256,3,simple,,,5,250000,2048,12000
20251123-104802,Windows 11,"AMD64 Family 25 Model 33 Stepping 2, AuthenticAMD",8,34265653248,NVIDIA GeForce RTX 5080,16303.0,,ppo,3DBall,1024,0.000142,81920,0.003126,0.281,0.924,3,constant,True,32,3,simple,,,5,2000000,2048,12000
20251123-110241,Windows 11,"AMD64 Family 25 Model 33 Stepping 2, AuthenticAMD",8,34265653248,NVIDIA GeForce RTX 5080,16303.0,,ppo,3DBall,2048,0.000278,81920,0.006144,0.264,0.907,8,constant,True,32,2,simple,,,5,250000,2048,12000
20251123-110536,Windows 11,"AMD64 Family 25 Model 33 Stepping 2, AuthenticAMD",8,34265653248,NVIDIA GeForce RTX 5080,16303.0,,ppo,3DBall,4096,7.9e-05,81920,0.007207,0.288,0.901,8,constant,True,256,3,simple,,,5,2000000,256,12000
20251123-112831,Windows 11,"AMD64 Family 25 Model 33 Stepping 2, AuthenticAMD",8,34265653248,NVIDIA GeForce RTX 5080,16303.0,,ppo,3DBall,512,6.8e-05,20480,0.008063,0.17,0.937,4,constant,True,512,2,simple,,,5,500000,1024,12000
20251123-113347,Windows 11,"AMD64 Family 25 Model 33 Stepping 2, AuthenticAMD",8,34265653248,NVIDIA GeForce RTX 5080,16303.0,,ppo,3DBall,2048,7.5e-05,163840,0.003323,0.184,0.949,5,linear,False,512,3,simple,,,5,2000000,2048,12000
20251123-115952,Windows 11,"AMD64 Family 25 Model 33 Stepping 2, AuthenticAMD",8,34265653248,NVIDIA GeForce RTX 5080,16303.0,,ppo,3DBall,4096,6.8e-05,327680,0.001919,0.282,0.906,5,constant,False,256,2,simple,,,5,2000000,64,12000
