RunID,final_reward,max_reward,time_to_max_reward_sec,total_duration_sec,mean_policy_loss,mean_value_loss,mean_entropy,final_entropy,max_cpu_usage_percent,mean_cpu_usage_percent,max_ram_used_mb,mean_ram_used_mb,mean_cpu_frequency,max_cpu_frequency,max_gpu_usage_percent,mean_gpu_usage_percent,max_vram_used_mb,mean_vram_used_mb,max_game_cpu_usage_percent,mean_game_cpu_usage_percent,max_game_memory_usage_mb,mean_game_memory_usage_mb
20251123-035951,1.463034153,1.463034153,55.53790665,55.53790665,0.02561303675,0.14916599925,1.4195376038749998,1.419168472,4.733333111,2.40833328675,10184.33301,10178.2707525,2267.333252,2267.333252,1.5,1.020833335875,1116.0,1116.0,1.007937551,0.56716785575,0.0,0.0
20251123-040056,15.32608986,19.52321815,288.55896,300.0004272,0.0273043988333333,0.1103063608333333,1.3706948495365854,1.30170083,6.25,2.3792682798780485,10323.0,10273.12597682927,2267.3332520000004,2267.333252,2.0,1.081300814,1116.0,1116.0,1.059021473,0.694436725292683,0.0,0.0
20251123-040632,4.5088377,4.930151463,144.9816895,153.0505676,0.0180965806,0.0225092388,1.39108151205,1.344500184,5.866666794,2.3383333445,10226.33301,10203.4749515,2267.333252,2267.333252,1.5,1.05000000595,1116.0,1116.0,1.074130297,0.6681114926999999,0.0,0.0
20251123-040931,10.2142868,10.2142868,127.2262039,127.2262039,0.0336886737499999,0.5599722222000001,1.4167287408500002,1.414637923,10.39999962,4.66916664845,10146.66699,10140.7833495,2267.333252,2267.333252,1.666666627,0.93333333135,1116.0,1116.0,1.056841493,0.6175877675500001,0.0,0.0
20251123-041152,94.15001678,100.0000153,520.7489014,990.5518188,0.0134584281666666,0.162943695,1.3852524139457834,1.353828311,9.100000381,3.4668674655602407,10632.5,10502.90363198795,2267.333252,2267.333252,7.5,1.421686748427711,1116.0,1116.0,1.165456891,0.712885151445783,0.0,0.0
20251123-042835,3.445075989,3.692000151,254.0299988,258.1882324,0.0171859156666666,0.1911756285,1.4012578580731707,1.375831127,5.949999809,2.6081300770243905,10318.5,10276.207317073173,2267.3332520000004,2267.333252,1.666666627,1.0162601660243902,1117.0,1116.9878048780488,1.071682811,0.6571192188536585,0.0,0.0
20251123-043320,100.0000153,100.0000153,285.7850647,488.5943909,0.035736217875,0.1892407664166666,1.3263280090481928,1.239130139,10.05000019,3.746184754084337,10291.5,10243.965867349398,2267.3332520000004,2267.333252,5.5,1.4236947815180725,1117.0,1117.0,1.225318193,0.7127095650843374,0.0,0.0
20251123-044139,79.19334412,79.19334412,128.8001099,128.8001099,0.025663611090909,0.4885749897272726,1.40703883165,1.390081644,7.349999905,3.1266666234,10231.0,10211.1666505,2267.333252,2267.333252,2.0,1.0666666687,1117.0,1117.0,0.990603805,0.65868713125,0.0,0.0
20251123-044403,1.206346154,1.216988325,23.68406296,66.88703918,0.011942741,0.036529232,1.418509349125,1.416018724,4.866666794,2.63333334025,10326.33301,10256.3542475,2267.333252,2267.333252,1.666666627,1.083333328375,1117.0,1117.0,0.851023436,0.663017273,0.0,0.0
20251123-044520,100.0000076,100.0000076,170.6592102,701.9533691,0.0343887787291666,0.0579416366875,1.288019750493976,1.227904916,8.100000381,3.2755020139397595,10267.0,10228.048192771084,2267.3332520000004,2267.333252,12.5,1.405622490204819,1117.0,1117.0,1.122909665,0.6676531947710843,0.0,0.0
20251123-045712,1.369958758,1.369958758,60.68267441,60.68267441,0.02461748375,0.23496149675,1.4157993048750002,1.413671732,4.033333302,2.410416647875,10241.66699,10231.6667475,2267.333252,2267.333252,1.0,0.958333335875,1118.0,1117.9375,1.02473557,0.599629528875,0.0,0.0
20251123-045823,2.079045057,2.079045057,565.0145264,565.0145264,0.0139379493333333,0.0498720823333333,1.4026694009999998,1.364126325,6.066666603,2.2564256938554217,10915.66699,10586.186782048191,2267.3332520000004,2267.333252,1.666666627,1.0321285178915662,1118.0,1118.0,1.043482423,0.6459713168915663,0.0,0.0
20251123-050758,92.47693634,100.0000153,149.1191406,382.4712219,0.035344943090909,0.0120856286363636,1.2257872646097565,1.108852506,7.699999809,2.6191056763170737,10275.5,10249.0,2267.3332520000004,2267.333252,2.0,1.178861789585366,1118.0,1118.0,1.145387292,0.7059841548048781,0.0,0.0
20251123-051451,1.149999976,1.205576897,10.76714134,38.36587143,,,1.418938279,1.418938279,4.0,2.497916683625,10375.66699,10287.87512125,2267.333252,2267.333252,5.5,1.5625,1118.0,1118.0,0.968739569,0.635908823375,0.0,0.0
20251123-051540,1.429746747,1.495238066,287.2967224,328.5261841,0.012622381,0.053853296,1.4140237219512195,1.404220819,5.5,2.1199187200487803,10862.33301,10493.845465365854,2267.3332520000004,2267.333252,1.333333373,0.967479677487805,1118.0,1118.0,0.853570938,0.6191593234390244,0.0,0.0
